local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Universidad Catolica,Guayaquil City,2020-11-11,1,3,0.0,0.0,0.57,0.43,23.0,8.0,10.0,4.0,13,11,4.0,2 - 1
Aucas,CD Olmedo,2020-11-11,2,3,0.0,0.0,0.56,0.44,21.0,16.0,7.0,3.0,12,1,5.0,3 - 3
Delfin,CSD Macara,2020-11-10,3,4,1.0,0.0,0.61,0.39,21.0,22.0,4.0,6.0,9,14,8.0,1 - 2
CD Tecnico Universitario,El Nacional,2020-11-10,0,1,0.0,0.0,0.45,0.55,15.0,14.0,3.0,6.0,8,2,1.0,1 - 0
Orense SC,Deportivo Cuenca,2020-11-10,3,4,0.0,0.0,0.57,0.43,21.0,25.0,2.0,5.0,15,10,7.0,1 - 1
Emelec,Universidad Catolica,2020-11-08,3,2,0.0,1.0,0.52,0.48,31.0,17.0,5.0,4.0,4,13,6.0,2 - 0
CD Olmedo,Barcelona SC,2020-11-06,2,3,0.0,0.0,0.43,0.57,20.0,16.0,3.0,6.0,1,0,5.0,1 - 0
LDU de Quito,Orense SC,2020-11-06,0,1,0.0,0.0,0.6,0.4,17.0,14.0,14.0,2.0,5,15,1.0,4 - 0
El Nacional,Delfin,2020-11-06,0,4,1.0,0.0,0.46,0.54,8.0,12.0,2.0,6.0,2,9,5.0,1 - 3
Independiente del Valle,Deportivo Cuenca,2020-11-05,2,3,0.0,0.0,0.65,0.35,18.0,17.0,3.0,5.0,7,10,5.0,2 - 1
CSD Macara,Mushuc Runa SC,2020-11-05,2,4,0.0,0.0,0.55,0.45,20.0,16.0,5.0,5.0,14,6,6.0,0 - 3
CSD Macara,Guayaquil City,2020-11-02,4,2,0.0,0.0,0.57,0.43,21.0,13.0,7.0,4.0,14,11,6.0,1 - 1
Barcelona SC,LDU de Quito,2020-11-01,2,1,0.0,0.0,0.5,0.5,8.0,21.0,3.0,3.0,0,5,3.0,2 - 2
Universidad Catolica,Independiente del Valle,2020-10-31,0,3,0.0,0.0,0.43,0.57,12.0,14.0,6.0,3.0,13,7,3.0,3 - 1
Delfin,LDU Portoviejo,2020-10-31,2,5,0.0,0.0,0.48,0.52,20.0,17.0,6.0,7.0,9,3,7.0,4 - 2
Mushuc Runa SC,CD Tecnico Universitario,2020-10-31,3,4,0.0,0.0,0.55,0.45,17.0,19.0,1.0,5.0,6,8,7.0,0 - 1
Deportivo Cuenca,El Nacional,2020-10-30,2,3,0.0,0.0,0.53,0.47,16.0,20.0,2.0,4.0,10,2,5.0,0 - 0
