fecha,estadio,local,visitante,score,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,fuera_de_juego_local,fuera_de_juego_visitante,corners_local,corners_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,tiros_fuera_local,tiros_fuera_visitante,intentos_a_porteria_local,intentos_a_porteria_visitante,atajadas_local,atajadas_visitante,faltas_local,faltas_visitante,penales_local,penales_visitante,tiros_bloqueados_local,tiros_bloqueados_visitante,ataques_peligrosos_local,ataques_peligrosos_visitante,ataques_local,ataques_visitante,faltas_totales,tarjetas_amarillas_totales,tarjetas_rojas_totales,tarjetas_totales,tiros_esquina_totales,avg_local_corners_local,avg_visitante_corners_visitante,avg_visitante_corners_conceded,avg_local_corners_conceded,expected_corners,diff_corners_strength,equipo_local_id,equipo_visitante_id,local_avg_last5,visitante_avg_last5,local_corner_category,visitante_corner_category,ratio_ataques_peligrosos,eficiencia_corner_local,local_avg_last3,visitante_avg_last3,diff_last3_vs_last5_local,diff_last3_vs_last5_visitante,consistencia_corners_local,last3_vs_media_liga,local_last1,visitante_last1,corners_vs_rival,posesion_x_ataques_peligrosos,ratio_corners_last5
2020-12-08,Estadio Cooperativa de Ahorro y Crédito Mushuc Runa,Mushuc Runa SC,Orense SC,0 - 0,0,3,0.0,0.0,0.68,0.32,4.0,0.0,9,7,6.0,1.0,9.0,3.0,15.0,4.0,1.0,6.0,15.0,13.0,0.0,0.0,5.0,0.0,64.0,16.0,100.0,61.0,28.0,3,0.0,3.0,16,5.553571428571429,3.912280701754386,4.824561403508772,4.321428571428571,4.732926065162907,0.7290100250626566,6,15,9.0,7.0,2,2,3.9999997500000153,1.4999997500000417,9.0,7.0,0.0,0.0,0.9999998888889013,1.7399692521026138,5.553571428571429,3.912280701754386,2.5,43.52,1.2857141020408425
2020-12-06,Estadio Banco del Pacífico George Capwell,Emelec,Barcelona SC,1 - 1,4,1,0.0,0.0,0.48,0.52,2.0,2.0,5,6,4.0,6.0,4.0,8.0,8.0,14.0,5.0,3.0,20.0,9.0,1.0,0.0,1.0,0.0,44.0,42.0,81.0,87.0,29.0,5,0.0,5.0,11,6.345454545454546,4.320754716981132,4.60377358490566,3.418181818181818,5.333104631217839,1.7416809605488854,4,0,7.0,5.5,2,1,1.0476190226757376,1.249999687500078,7.0,5.5,0.0,0.0,0.9999998571428775,1.3533094183020329,9.0,5.0,7.0,21.119999999999997,1.2727270413223561
2020-12-06,Estadio Christian Benítez Betancourt,Guayaquil City,LDU Portoviejo,3 - 1,2,2,0.0,0.0,0.58,0.42,2.0,0.0,2,0,7.0,3.0,3.0,6.0,10.0,9.0,2.0,4.0,15.0,23.0,0.0,0.0,1.0,1.0,65.0,64.0,93.0,73.0,38.0,4,0.0,4.0,2,3.257142857142857,2.8,5.3,4.9714285714285715,3.0285714285714285,-2.0428571428571427,11,3,1.5,0.6666666666666666,0,0,1.0156249841308596,0.285714244897965,1.5,0.6666666666666666,0.0,0.0,0.9999993333337779,0.2899948753504356,1.0,1.0,3.3333333333333335,37.699999999999996,2.2499966250050627
2020-12-06,Estadio Banco Guayaquil,Independiente del Valle,El Nacional,2 - 0,2,3,0.0,0.0,0.51,0.49,5.0,5.0,4,7,4.0,6.0,2.0,0.0,6.0,6.0,6.0,2.0,23.0,16.0,0.0,0.0,0.0,1.0,39.0,47.0,79.0,87.0,39.0,5,0.0,5.0,11,6.046875,4.085106382978723,5.574468085106383,3.359375,5.065990691489361,0.4724069148936172,7,2,6.0,6.0,1,1,0.8297872163875061,0.9999997500000625,6.0,6.0,0.0,0.0,0.9999998333333611,1.1599795014017424,8.0,3.0,2.0,19.89,0.9999998333333611
2020-12-06,Estadio Olímpico Atahualpa,Universidad Catolica,LDU de Quito,2 - 0,3,2,1.0,0.0,0.42,0.58,3.0,3.0,2,5,6.0,5.0,2.0,2.0,8.0,7.0,5.0,4.0,15.0,13.0,0.0,0.0,2.0,2.0,39.0,60.0,95.0,98.0,28.0,5,1.0,6.0,7,5.233333333333333,4.746031746031746,4.809523809523809,3.783333333333333,4.98968253968254,0.4238095238095241,13,5,3.0,5.333333333333333,0,1,0.6499999891666669,0.33333327777778704,3.0,5.333333333333333,0.0,0.0,0.9999996666667778,0.5799897507008712,4.0,2.0,4.0,16.38,0.5624998945312698
2020-12-05,Estadio 9 de Mayo,Orense SC,Delfin,1 - 1,1,2,0.0,0.0,0.48,0.52,1.0,1.0,8,8,3.0,6.0,4.0,4.0,7.0,10.0,5.0,2.0,20.0,8.0,0.0,0.0,1.0,2.0,37.0,42.0,90.0,85.0,28.0,3,0.0,3.0,16,5.6521739130434785,3.456140350877193,5.964912280701754,3.449275362318841,4.554157131960336,-0.3127383676582758,15,9,4.333333333333333,6.5,1,1,0.8809523599773248,2.666665777778074,4.333333333333333,6.5,0.0,0.0,0.9999997692308225,0.8377629732345917,2.0,5.0,4.2,17.759999999999998,0.6666665641025799
2020-12-04,Estadio Alejandro Serrano Aguilar Banco del Austro,Deportivo Cuenca,Mushuc Runa SC,1 - 0,3,2,0.0,0.0,0.4,0.6,2.0,2.0,2,4,2.0,6.0,5.0,6.0,7.0,12.0,6.0,1.0,19.0,20.0,0.0,1.0,1.0,0.0,40.0,54.0,77.0,88.0,39.0,5,0.0,5.0,6,4.672727272727273,4.5625,5.578125,4.090909090909091,4.617613636363636,-0.9053977272727272,10,6,2.0,4.333333333333333,0,1,0.74074072702332,0.99999950000025,2.0,4.333333333333333,0.0,0.0,0.99999950000025,0.38665983380058083,0.0,2.0,7.75,16.0,0.4615383550296104
2020-12-04,Estadio Olímpico de Riobamba,CD Olmedo,CD Tecnico Universitario,0 - 0,3,3,0.0,0.0,0.47,0.53,3.0,4.0,5,6,3.0,3.0,6.0,4.0,9.0,7.0,3.0,3.0,11.0,13.0,0.0,0.0,0.0,1.0,44.0,46.0,89.0,97.0,24.0,6,0.0,6.0,11,4.15,4.120689655172414,4.568965517241379,4.65,4.1353448275862075,-0.41896551724137865,1,8,4.0,6.0,1,1,0.9565217183364845,1.6666661111112961,4.0,6.0,0.0,0.0,0.9999997500000625,0.7733196676011617,3.0,6.0,2.6666666666666665,20.68,0.6666665555555741
2020-11-29,Estadio Monumental Banco Pichincha,Barcelona SC,CSD Macara,3 - 0,2,1,0.0,0.0,0.55,0.45,1.0,1.0,4,7,5.0,1.0,2.0,0.0,7.0,1.0,1.0,2.0,15.0,19.0,0.0,0.0,1.0,3.0,36.0,36.0,79.0,70.0,34.0,3,0.0,3.0,11,5.672727272727273,4.6923076923076925,4.230769230769231,3.8181818181818183,5.182517482517483,1.441958041958042,0,14,6.666666666666667,8.0,1,2,0.999999972222223,0.799999840000032,6.666666666666667,8.0,0.0,0.0,0.9999998500000224,1.2888661126686027,8.0,9.0,5.0,19.8,0.8333332291666798
2020-11-29,Estadio Reales Tamarindos,LDU Portoviejo,Universidad Catolica,2 - 1,3,3,1.0,0.0,0.5,0.5,3.0,1.0,6,3,7.0,5.0,4.0,5.0,11.0,10.0,4.0,5.0,17.0,11.0,0.0,1.0,1.0,0.0,48.0,40.0,83.0,84.0,28.0,6,1.0,7.0,9,3.8,4.716666666666667,4.266666666666667,5.2,4.258333333333333,-0.4666666666666668,3,13,7.0,4.0,2,1,1.1999999700000008,0.857142734693895,7.0,4.0,0.0,0.0,0.9999998571428775,1.3533094183020329,8.0,5.0,6.333333333333333,24.0,1.7499995625001092
2020-11-29,Estadio Gonzalo Pozo Ripalda,Aucas,Orense SC,4 - 1,2,1,0.0,0.0,0.54,0.46,2.0,2.0,7,4,6.0,8.0,5.0,6.0,11.0,14.0,7.0,2.0,20.0,11.0,0.0,0.0,1.0,0.0,56.0,35.0,86.0,76.0,31.0,3,0.0,3.0,11,5.383333333333334,3.912280701754386,4.824561403508772,4.666666666666667,4.64780701754386,0.5587719298245615,12,15,7.0,5.5,2,1,1.5999999542857157,1.1666664722222546,7.0,5.5,0.0,0.0,0.9999998571428775,1.3533094183020329,5.383333333333334,7.0,6.0,30.240000000000002,1.2727270413223561
